1,1494423474,Monty,A nyúlon túl?,
2,1494423493,Python,Nincs valaki más akivel beszélhetnék?,
3,1494423540,MontyPython,A júdeai nemzeti front?,
4,1494428525,Engem gyíkká változtatott!,Téged?,
5,1494428840,akik azt mondják: NI!,Csak nem a lovagok akik kimondják: NI!?    De bizony......................................................................................,
6,1494429003,Mi úszik még a vízen?,A KACSÁK!,
7,1494430067,Egy szép napon fiam ez itt mind a tiéd lesz!,MI? A függöny?,
8,1494430732,kfjl,lhfgwegwő,
9,1494430790,djfna,vmlsdmvéslmvd,
10,1494493899,hé,van egy cigid?,
11,1494493925,ladfna,yxljfaldkfnaésdmfaéknfeaéknf,
